,text,intent
0,raggiungi questo cespuglio ,Reach
1,vai dove sta questo cespuglio ,Reach
2,vai dove si trova questo cespuglio ,Reach
3,vai in corrispondenza di questo cespuglio ,Reach
4,recati dove sta questo cespuglio ,Reach
5,recati dove si trova questo cespuglio ,Reach
6,recati in corrispondenza di questo cespuglio ,Reach
7,andresti dove sta questo cespuglio ,Reach
8,andresti dove si trova questo cespuglio ,Reach
9,andresti in corrispondenza di questo cespuglio ,Reach
10,ti recheresti dove sta questo cespuglio ,Reach
11,ti recheresti dove si trova questo cespuglio ,Reach
12,ti recheresti in corrispondenza di questo cespuglio ,Reach
13,puoi andare dove sta questo cespuglio ,Reach
14,puoi andare dove si trova questo cespuglio ,Reach
15,puoi andare in corrispondenza di questo cespuglio ,Reach
16,potresti andare dove sta questo cespuglio ,Reach
17,potresti andare dove si trova questo cespuglio ,Reach
18,potresti andare in corrispondenza di questo cespuglio ,Reach
19,puoi recarti dove sta questo cespuglio ,Reach
20,puoi recarti dove si trova questo cespuglio ,Reach
21,puoi recarti in corrispondenza di questo cespuglio ,Reach
22,potresti recarti dove sta questo cespuglio ,Reach
23,potresti recarti dove si trova questo cespuglio ,Reach
24,potresti recarti in corrispondenza di questo cespuglio ,Reach
25,puoi raggiungere questo cespuglio ,Reach
26,potresti raggiungere questo cespuglio ,Reach
27,raggiungi quel cespuglio ,Reach
28,vai dove sta quel cespuglio ,Reach
29,vai dove si trova quel cespuglio ,Reach
30,vai in corrispondenza di quel cespuglio ,Reach
31,recati dove sta quel cespuglio ,Reach
32,recati dove si trova quel cespuglio ,Reach
33,recati in corrispondenza di quel cespuglio ,Reach
34,andresti dove sta quel cespuglio ,Reach
35,andresti dove si trova quel cespuglio ,Reach
36,andresti in corrispondenza di quel cespuglio ,Reach
37,ti recheresti dove sta quel cespuglio ,Reach
38,ti recheresti dove si trova quel cespuglio ,Reach
39,ti recheresti in corrispondenza di quel cespuglio ,Reach
40,puoi andare dove sta quel cespuglio ,Reach
41,puoi andare dove si trova quel cespuglio ,Reach
42,puoi andare in corrispondenza di quel cespuglio ,Reach
43,potresti andare dove sta quel cespuglio ,Reach
44,potresti andare dove si trova quel cespuglio ,Reach
45,potresti andare in corrispondenza di quel cespuglio ,Reach
46,puoi recarti dove sta quel cespuglio ,Reach
47,puoi recarti dove si trova quel cespuglio ,Reach
48,puoi recarti in corrispondenza di quel cespuglio ,Reach
49,potresti recarti dove sta quel cespuglio ,Reach
50,potresti recarti dove si trova quel cespuglio ,Reach
51,potresti recarti in corrispondenza di quel cespuglio ,Reach
52,puoi raggiungere quel cespuglio ,Reach
53,potresti raggiungere quel cespuglio ,Reach
54,raggiungi il cespuglio ,Reach
55,vai dove sta il cespuglio ,Reach
56,vai dove si trova il cespuglio ,Reach
57,vai in corrispondenza di il cespuglio ,Reach
58,recati dove sta il cespuglio ,Reach
59,recati dove si trova il cespuglio ,Reach
60,recati in corrispondenza di il cespuglio ,Reach
61,andresti dove sta il cespuglio ,Reach
62,andresti dove si trova il cespuglio ,Reach
63,andresti in corrispondenza di il cespuglio ,Reach
64,ti recheresti dove sta il cespuglio ,Reach
65,ti recheresti dove si trova il cespuglio ,Reach
66,ti recheresti in corrispondenza di il cespuglio ,Reach
67,puoi andare dove sta il cespuglio ,Reach
68,puoi andare dove si trova il cespuglio ,Reach
69,puoi andare in corrispondenza di il cespuglio ,Reach
70,potresti andare dove sta il cespuglio ,Reach
71,potresti andare dove si trova il cespuglio ,Reach
72,potresti andare in corrispondenza di il cespuglio ,Reach
73,puoi recarti dove sta il cespuglio ,Reach
74,puoi recarti dove si trova il cespuglio ,Reach
75,puoi recarti in corrispondenza di il cespuglio ,Reach
76,potresti recarti dove sta il cespuglio ,Reach
77,potresti recarti dove si trova il cespuglio ,Reach
78,potresti recarti in corrispondenza di il cespuglio ,Reach
79,puoi raggiungere il cespuglio ,Reach
80,potresti raggiungere il cespuglio ,Reach
81,raggiungi questo cespo ,Reach
82,vai dove sta questo cespo ,Reach
83,vai dove si trova questo cespo ,Reach
84,vai in corrispondenza di questo cespo ,Reach
85,recati dove sta questo cespo ,Reach
86,recati dove si trova questo cespo ,Reach
87,recati in corrispondenza di questo cespo ,Reach
88,andresti dove sta questo cespo ,Reach
89,andresti dove si trova questo cespo ,Reach
90,andresti in corrispondenza di questo cespo ,Reach
91,ti recheresti dove sta questo cespo ,Reach
92,ti recheresti dove si trova questo cespo ,Reach
93,ti recheresti in corrispondenza di questo cespo ,Reach
94,puoi andare dove sta questo cespo ,Reach
95,puoi andare dove si trova questo cespo ,Reach
96,puoi andare in corrispondenza di questo cespo ,Reach
97,potresti andare dove sta questo cespo ,Reach
98,potresti andare dove si trova questo cespo ,Reach
99,potresti andare in corrispondenza di questo cespo ,Reach
100,puoi recarti dove sta questo cespo ,Reach
101,puoi recarti dove si trova questo cespo ,Reach
102,puoi recarti in corrispondenza di questo cespo ,Reach
103,potresti recarti dove sta questo cespo ,Reach
104,potresti recarti dove si trova questo cespo ,Reach
105,potresti recarti in corrispondenza di questo cespo ,Reach
106,puoi raggiungere questo cespo ,Reach
107,potresti raggiungere questo cespo ,Reach
108,raggiungi quel cespo ,Reach
109,vai dove sta quel cespo ,Reach
110,vai dove si trova quel cespo ,Reach
111,vai in corrispondenza di quel cespo ,Reach
112,recati dove sta quel cespo ,Reach
113,recati dove si trova quel cespo ,Reach
114,recati in corrispondenza di quel cespo ,Reach
115,andresti dove sta quel cespo ,Reach
116,andresti dove si trova quel cespo ,Reach
117,andresti in corrispondenza di quel cespo ,Reach
118,ti recheresti dove sta quel cespo ,Reach
119,ti recheresti dove si trova quel cespo ,Reach
120,ti recheresti in corrispondenza di quel cespo ,Reach
121,puoi andare dove sta quel cespo ,Reach
122,puoi andare dove si trova quel cespo ,Reach
123,puoi andare in corrispondenza di quel cespo ,Reach
124,potresti andare dove sta quel cespo ,Reach
125,potresti andare dove si trova quel cespo ,Reach
126,potresti andare in corrispondenza di quel cespo ,Reach
127,puoi recarti dove sta quel cespo ,Reach
128,puoi recarti dove si trova quel cespo ,Reach
129,puoi recarti in corrispondenza di quel cespo ,Reach
130,potresti recarti dove sta quel cespo ,Reach
131,potresti recarti dove si trova quel cespo ,Reach
132,potresti recarti in corrispondenza di quel cespo ,Reach
133,puoi raggiungere quel cespo ,Reach
134,potresti raggiungere quel cespo ,Reach
135,raggiungi il cespo ,Reach
136,vai dove sta il cespo ,Reach
137,vai dove si trova il cespo ,Reach
138,vai in corrispondenza di il cespo ,Reach
139,recati dove sta il cespo ,Reach
140,recati dove si trova il cespo ,Reach
141,recati in corrispondenza di il cespo ,Reach
142,andresti dove sta il cespo ,Reach
143,andresti dove si trova il cespo ,Reach
144,andresti in corrispondenza di il cespo ,Reach
145,ti recheresti dove sta il cespo ,Reach
146,ti recheresti dove si trova il cespo ,Reach
147,ti recheresti in corrispondenza di il cespo ,Reach
148,puoi andare dove sta il cespo ,Reach
149,puoi andare dove si trova il cespo ,Reach
150,puoi andare in corrispondenza di il cespo ,Reach
151,potresti andare dove sta il cespo ,Reach
152,potresti andare dove si trova il cespo ,Reach
153,potresti andare in corrispondenza di il cespo ,Reach
154,puoi recarti dove sta il cespo ,Reach
155,puoi recarti dove si trova il cespo ,Reach
156,puoi recarti in corrispondenza di il cespo ,Reach
157,potresti recarti dove sta il cespo ,Reach
158,potresti recarti dove si trova il cespo ,Reach
159,potresti recarti in corrispondenza di il cespo ,Reach
160,puoi raggiungere il cespo ,Reach
