,sentence_idx,word,tag
0,1,raggiungi,O
1,1,questo,O
2,1,cespuglio,B-ToReach
3,2,vai,O
4,2,dove,O
5,2,sta,O
6,2,questo,O
7,2,cespuglio,B-ToReach
8,3,vai,O
9,3,dove,O
10,3,si,O
11,3,trova,O
12,3,questo,O
13,3,cespuglio,B-ToReach
14,4,vai,O
15,4,in,O
16,4,corrispondenza,O
17,4,di,O
18,4,questo,O
19,4,cespuglio,B-ToReach
20,5,recati,O
21,5,dove,O
22,5,sta,O
23,5,questo,O
24,5,cespuglio,B-ToReach
25,6,recati,O
26,6,dove,O
27,6,si,O
28,6,trova,O
29,6,questo,O
30,6,cespuglio,B-ToReach
31,7,recati,O
32,7,in,O
33,7,corrispondenza,O
34,7,di,O
35,7,questo,O
36,7,cespuglio,B-ToReach
37,8,andresti,O
38,8,dove,O
39,8,sta,O
40,8,questo,O
41,8,cespuglio,B-ToReach
42,9,andresti,O
43,9,dove,O
44,9,si,O
45,9,trova,O
46,9,questo,O
47,9,cespuglio,B-ToReach
48,10,andresti,O
49,10,in,O
50,10,corrispondenza,O
51,10,di,O
52,10,questo,O
53,10,cespuglio,B-ToReach
54,11,ti,O
55,11,recheresti,O
56,11,dove,O
57,11,sta,O
58,11,questo,O
59,11,cespuglio,B-ToReach
60,12,ti,O
61,12,recheresti,O
62,12,dove,O
63,12,si,O
64,12,trova,O
65,12,questo,O
66,12,cespuglio,B-ToReach
67,13,ti,O
68,13,recheresti,O
69,13,in,O
70,13,corrispondenza,O
71,13,di,O
72,13,questo,O
73,13,cespuglio,B-ToReach
74,14,puoi,O
75,14,andare,O
76,14,dove,O
77,14,sta,O
78,14,questo,O
79,14,cespuglio,B-ToReach
80,15,puoi,O
81,15,andare,O
82,15,dove,O
83,15,si,O
84,15,trova,O
85,15,questo,O
86,15,cespuglio,B-ToReach
87,16,puoi,O
88,16,andare,O
89,16,in,O
90,16,corrispondenza,O
91,16,di,O
92,16,questo,O
93,16,cespuglio,B-ToReach
94,17,potresti,O
95,17,andare,O
96,17,dove,O
97,17,sta,O
98,17,questo,O
99,17,cespuglio,B-ToReach
100,18,potresti,O
101,18,andare,O
102,18,dove,O
103,18,si,O
104,18,trova,O
105,18,questo,O
106,18,cespuglio,B-ToReach
107,19,potresti,O
108,19,andare,O
109,19,in,O
110,19,corrispondenza,O
111,19,di,O
112,19,questo,O
113,19,cespuglio,B-ToReach
114,20,puoi,O
115,20,recarti,O
116,20,dove,O
117,20,sta,O
118,20,questo,O
119,20,cespuglio,B-ToReach
120,21,puoi,O
121,21,recarti,O
122,21,dove,O
123,21,si,O
124,21,trova,O
125,21,questo,O
126,21,cespuglio,B-ToReach
127,22,puoi,O
128,22,recarti,O
129,22,in,O
130,22,corrispondenza,O
131,22,di,O
132,22,questo,O
133,22,cespuglio,B-ToReach
134,23,potresti,O
135,23,recarti,O
136,23,dove,O
137,23,sta,O
138,23,questo,O
139,23,cespuglio,B-ToReach
140,24,potresti,O
141,24,recarti,O
142,24,dove,O
143,24,si,O
144,24,trova,O
145,24,questo,O
146,24,cespuglio,B-ToReach
147,25,potresti,O
148,25,recarti,O
149,25,in,O
150,25,corrispondenza,O
151,25,di,O
152,25,questo,O
153,25,cespuglio,B-ToReach
154,26,puoi,O
155,26,raggiungere,O
156,26,questo,O
157,26,cespuglio,B-ToReach
158,27,potresti,O
159,27,raggiungere,O
160,27,questo,O
161,27,cespuglio,B-ToReach
162,28,raggiungi,O
163,28,quel,O
164,28,cespuglio,B-ToReach
165,29,vai,O
166,29,dove,O
167,29,sta,O
168,29,quel,O
169,29,cespuglio,B-ToReach
170,30,vai,O
171,30,dove,O
172,30,si,O
173,30,trova,O
174,30,quel,O
175,30,cespuglio,B-ToReach
176,31,vai,O
177,31,in,O
178,31,corrispondenza,O
179,31,di,O
180,31,quel,O
181,31,cespuglio,B-ToReach
182,32,recati,O
183,32,dove,O
184,32,sta,O
185,32,quel,O
186,32,cespuglio,B-ToReach
187,33,recati,O
188,33,dove,O
189,33,si,O
190,33,trova,O
191,33,quel,O
192,33,cespuglio,B-ToReach
193,34,recati,O
194,34,in,O
195,34,corrispondenza,O
196,34,di,O
197,34,quel,O
198,34,cespuglio,B-ToReach
199,35,andresti,O
200,35,dove,O
201,35,sta,O
202,35,quel,O
203,35,cespuglio,B-ToReach
204,36,andresti,O
205,36,dove,O
206,36,si,O
207,36,trova,O
208,36,quel,O
209,36,cespuglio,B-ToReach
210,37,andresti,O
211,37,in,O
212,37,corrispondenza,O
213,37,di,O
214,37,quel,O
215,37,cespuglio,B-ToReach
216,38,ti,O
217,38,recheresti,O
218,38,dove,O
219,38,sta,O
220,38,quel,O
221,38,cespuglio,B-ToReach
222,39,ti,O
223,39,recheresti,O
224,39,dove,O
225,39,si,O
226,39,trova,O
227,39,quel,O
228,39,cespuglio,B-ToReach
229,40,ti,O
230,40,recheresti,O
231,40,in,O
232,40,corrispondenza,O
233,40,di,O
234,40,quel,O
235,40,cespuglio,B-ToReach
236,41,puoi,O
237,41,andare,O
238,41,dove,O
239,41,sta,O
240,41,quel,O
241,41,cespuglio,B-ToReach
242,42,puoi,O
243,42,andare,O
244,42,dove,O
245,42,si,O
246,42,trova,O
247,42,quel,O
248,42,cespuglio,B-ToReach
249,43,puoi,O
250,43,andare,O
251,43,in,O
252,43,corrispondenza,O
253,43,di,O
254,43,quel,O
255,43,cespuglio,B-ToReach
256,44,potresti,O
257,44,andare,O
258,44,dove,O
259,44,sta,O
260,44,quel,O
261,44,cespuglio,B-ToReach
262,45,potresti,O
263,45,andare,O
264,45,dove,O
265,45,si,O
266,45,trova,O
267,45,quel,O
268,45,cespuglio,B-ToReach
269,46,potresti,O
270,46,andare,O
271,46,in,O
272,46,corrispondenza,O
273,46,di,O
274,46,quel,O
275,46,cespuglio,B-ToReach
276,47,puoi,O
277,47,recarti,O
278,47,dove,O
279,47,sta,O
280,47,quel,O
281,47,cespuglio,B-ToReach
282,48,puoi,O
